origin;-;baidu;-;google;-;bing;-;Label
The old rule started to seem dated and out of place .;-;旧规则开始显得过时和不合适。;-;旧规则开始显得过时和格格不入。;-;旧规则开始显得过时和不合时宜。;-;1-2;1-3;2-3
Holmes pleaded not guilty to the charges of wire fraud and conspiracy to commit wire fraud .;-;福尔摩斯对电汇诈骗和共谋电汇诈骗的指控不认罪。;-;福尔摩斯对电汇欺诈和串谋进行电汇欺诈的指控不认罪。;-;福尔摩斯对电汇欺诈和共谋进行电汇诈骗的指控不认罪。;-;1-2;1-3;2-3
According to a 2018 Harvard Business School study , venture capital firms that increased the number of female partners they hired by even 10 % saw a bump in overall fund returns .;-;根据2018年哈佛商学院的一项研究，风险投资公司雇佣的女性合伙人数量甚至增加了10%，整体基金回报率出现了大幅上升。;-;根据2018年哈佛商学院的一项研究，风险投资公司雇佣的女性合伙人数量甚至增加了10%，其整体基金回报率出现了大幅增长。;-;根据哈佛商学院2018年的一项研究，风险投资公司将女性合伙人的数量增加了10%，但整体基金回报率却出现了增长。;-;1-2;1x3;2x3
Before , economists used to work on public data .;-;以前，经济学家们经常研究公共数据。;-;以前，经济学家过去常常研究公共数据。;-;以前，经济学家曾经研究公共数据。;-;1-2;1-3;2-3
We tend to deflect or interrupt a lot quicker .;-;我们倾向于更快地偏离或打断。;-;我们倾向于更快地转移或中断。;-;我们倾向于更快地偏转或中断。;-;1-2;1-3;2-3
Throughout her career , Chan has often been one of the only women in the room .;-;在她的职业生涯中，成龙经常是这个房间里唯一的女性之一。;-;在她的整个职业生涯中，陈经常是房间里仅有的女性之一。;-;在她的整个职业生涯中，Chan经常是房间里唯一的女性之一。;-;2-3;1x2;1x3
The folks at Amazon are not doing the same sort of traditional chief economist ' s role .;-;亚马逊的员工并没有扮演传统首席经济学家的角色。;-;亚马逊的人并没有扮演传统的首席经济学家的角色。;-;亚马逊的人并没有像传统的首席经济学家那样扮演着同样的角色。;-;1-2;1x3;2x3
And now , if they want to study behavior , the tech companies have it , and it ' s proprietary .;-;现在，如果他们想研究行为，科技公司就有了，而且是专有的。;-;现在，如果他们想研究行为，科技公司就有了，而且是专有的。;-;现在，如果他们想研究行为，科技公司拥有它，而且它是专有的。;-;1-2;1-3;2-3
Within a week of trying the platform , Chan was convinced the firm should invest .;-;在尝试该平台的一周内，陈确信该公司应该进行投资。;-;在试用该平台的一周内，Chan确信该公司应该投资。;-;在尝试该平台的一周内，Chan确信该公司应该投资。;-;1-2;1-3;2-3
Other decisions — like how to target ads , where to put bookstores and warehouses , and how much an Echo device should cost — are also vetted by economists .;-;其他决策——如如何定位广告、书店和仓库的位置，以及回声设备的成本——也会受到经济学家的审查。;-;其他决策——比如如何定位广告、在哪里放置书店和仓库，以及Echo设备的成本——也需要经济学家审查。;-;其他决定——比如如何定位广告，在哪里放置书店和仓库，以及Echo设备应该花多少钱——也要经过经济学家的审查。;-;1x2;1x3;2x3
Anxious gossip about who is and is not mentioned in the latest news reports .;-;最新新闻报道中关于谁是谁、谁没有被提及的焦虑八卦。;-;关于最新新闻报道中提到和未提及的人的焦虑八卦。;-;关于谁在最新的新闻报道中被提及和未被提及的焦虑八卦。;-;1x2;1x3;2x3
The ultimate scale of the exodus is likely to depend on the terms of the divorce and when it occurs .;-;如果不这样做，该国在3月29日没有达成过渡协议的情况下脱离欧盟的可能性就会增加。;-;出走的最终规模可能取决于离婚的条款以及何时发生。;-;出走的最终规模可能取决于离婚的条件和何时发生。;-;2-3;1x2;1x3
If that does not happen , the chances of the country crashing out of the bloc without a transitional deal on March 29 increase .;-;如果不这样做，该国在3月29日没有达成过渡协议的情况下脱离欧盟的可能性就会增加。;-;如果这种情况不发生，那么该国在3月29日没有达成过渡性协议的情况下退出欧盟的可能性就会增加。;-;如果没有发生这种情况，该国在3月29日没有达成过渡性协议的情况下退出欧盟的可能性就会增加。;-;2-3;1x2;1x3
It ' s not good form to reject something someone gave us , it ' s better to say thank you and receive it graciously , said Dudley .;-;达力说：“拒绝别人给我们的东西不是一种好的形式，最好说声谢谢，然后亲切地接受。”。;-;拒绝别人给我们的东西不是很好的形式，最好说声谢谢，并礼貌地接受它，达德利说。;-;达德利说，拒绝别人给我们的东西不是一个好形式，最好说声谢谢，并大方地接受它。;-;1-2;1-3;2-3
In addition , Facebook will add more certification and education requirements globally about how to prevent discrimination and ensure advertisers are aware of its policies .;-;此外，Facebook将在全球范围内增加更多关于如何防止歧视和确保广告商了解其政策的认证和教育要求。;-;此外，Facebook将在全球范围内增加更多关于如何防止歧视并确保广告商了解其政策的认证和教育要求。;-;此外，Facebook将在全球范围内增加更多关于如何防止歧视并确保广告商了解其政策的认证和教育要求。;-;1-2;1-3;2-3
Deutsche Bank investors are running out of patience .;-;德意志银行的投资者正在失去耐心。;-;德意志银行的投资者已经没有耐心了。;-;德意志银行的投资者正在失去耐心。;-;1-2;1-3;2-3
in their LinkedIn profiles .;-;在他们的LinkedIn个人资料中。;-;在他们的LinkedIn个人资料中。;-;在他们的LinkedIn个人资料中。;-;1-2;1-3;2-3
At the time , Facebook said age based targeting is an accepted industry practice .;-;当时，Facebook表示，基于年龄的目标定位是一种公认的行业做法。;-;当时，Facebook表示基于年龄的定位是一种公认??的行业惯例。;-;当时，Facebook表示，基于年龄的定位是一种公认的行业惯例。;-;1-2;1-3;2-3
Actress Jennifer Lawrence is also expected to star as Holmes in a movie based on Bad Blood .;-;女演员詹妮弗·劳伦斯也将出演一部基于《坏血》的电影，饰演福尔摩斯。;-;女演员詹妮弗·劳伦斯也有望在一部基于坏血的电影中饰演福尔摩斯。;-;女演员詹妮弗·劳伦斯也有望在一部基于《坏血》的电影中饰演福尔摩斯。;-;1-2;1-3;2-3
Housing , employment , and credit ads are crucial to helping people buy new homes , start great careers , and gain access to credit .;-;住房、就业和信贷广告对于帮助人们购买新房、开始伟大的事业和获得信贷至关重要。;-;住房、就业和信贷广告对于帮助人们购买新房、开始伟大的职业生涯和获得信贷至关重要。;-;住房，就业和信贷广告对于帮助人们购买新房，开始伟大的职业生涯和获得信贷至关重要。;-;1-2;1-3;2-3
Since then , the ex employee has been rejected for multiple jobs and is still searching .;-;自那以后，这位前雇员因多个工作被拒绝，仍在寻找工作。;-;从那以后，这位前雇员多次被拒绝，仍在寻找。;-;从那时起，这位前雇员被拒绝了多份工作，并且仍在寻找。;-;1-2;1-3;2-3
Once hired , research questions were everywhere .;-;一旦被录用，研究问题无处不在。;-;一旦被聘用，研究问题无处不在。;-;一旦被录用，研究问题无处不在。;-;1-2;1-3;2-3
Meanwhile , blacks and Latinos are primarily funneled into underfunded and overcrowded bottom tier , open access colleges .;-;与此同时，黑人和拉丁美洲人主要进入资金不足、人满为患的底层开放大学。;-;与此同时，黑人和拉丁裔主要被输送到资金不足和人满为患的底层开放式大学。;-;与此同时，黑人和拉美裔人主要被输送到资金不足、人满为患的底层开放大学。;-;1-2;1-3;2-3
Brazilian President Jair Bolsonaro sat for chummy bilateral talks with Trump that illustrated what White House officials hope is a budding partnership between the Western hemisphere ' s two largest economies .;-;巴西总统贾伊尔·博尔索纳罗与特朗普进行了友好的双边会谈，这表明白宫官员希望西半球两个最大经济体之间的伙伴关系正在萌芽。;-;巴西总统雅伊尔·博尔索纳罗坐下来与特朗普进行了亲密的双边会谈，这表明白宫官员希望西半球两个最大经济体之间的伙伴关系处于萌芽状态。;-;巴西总统雅伊尔·博尔索纳罗与特朗普进行了激烈的双边会谈，这说明了白宫官员希望西半球两个最大经济体之间萌芽的伙伴关系。;-;1-2;1x3;2x3
Gavin Newsom ' s first budget proposed extending that to a second year .;-;加文·纽森的第一份预算提议将其延长到第二年。;-;加文纽森的第一份预算提议将其延长至第二年。;-;GavinNewsom的第一份预算建议将其延长至第二年。;-;1-2;1-3;2-3
And in the wake of the New Zealand tragedy , I want to make one thing very clear : we will not permit such hate in the homeland , she added .;-;她补充说：“在新西兰悲剧发生后，我想明确一点：我们不会允许这种仇恨在祖国蔓延。”。;-;她补充说，在新西兰悲剧发生后，我想非常清楚地说明一件事：我们不会允许这种仇恨在国内发生。;-;在新西兰悲剧发生后，我想非常清楚地表明一件事：我们不会允许在祖国发生这种仇恨，她补充说。;-;1-2;1-3;2-3
Children in the top 1 % of families were 77 times more likely to attend these institutions than children from parents in the bottom fifth of earners , the analysis found .;-;分析发现，收入最高的1%家庭的孩子上这些机构的可能性是收入最低的五分之一家庭的孩子的77倍。;-;分析发现，收入最高的1%家庭的孩子就读这些机构的可能性是收入最低的五分之一家庭的孩子的77倍。;-;分析发现，收入最高的1%家庭的儿童参加这些机构的可能性是收入最低的五分之一家庭的父母的孩子的77倍。;-;1-2;1-3;2-3
Mueller also received approval on two separate occasions to track the numbers of Cohen ' s incoming and outgoing calls .;-;穆勒还分别在两个不同的场合获得批准，可以追踪科恩的来电和呼出电话号码。;-;穆勒还在两个不同的场合获得批准，以跟踪科恩的来电和去电号码。;-;穆勒还两次获得批准，以跟踪科恩的来电和去电号码。;-;1-2;1x3;2x3
The court correctly holds that the Executive Branch ' s detention of the particular non citizens here remained mandatory even though the Executive Branch did not immediately detain them .;-;法院正确地认为，行政部门对这里的特定非公民的拘留仍然是强制性的，尽管行政部门没有立即拘留他们。;-;法院正确地认为，尽管行政部门没有立即拘留他们，但行政部门对这里的特定非公民的拘留仍然是强制性的。;-;法院正确地认为，行政部门对特定非公民的拘留仍然是强制性的，即使行政部门没有立即拘留他们。;-;1-2;1-3;2-3
Except it did not destroy Trump .;-;但它并没有摧毁特朗普。;-;除了它没有摧毁特朗普。;-;除了它没有摧毁特朗普。;-;2-3;1x2;1x3
Harley Davidson , stuck in the middle , said it could lose $ 100 million per year , so the company decided to move some production overseas to avoid the EU tariffs .;-;卡在中间的哈雷戴维森说，它每年可能损失1亿美元，因此该公司决定在海外生产一些产品以避免欧盟关税。;-;卡在中间的哈雷戴维森表示，它每年可能会损失1亿美元，因此该公司决定将部分生产转移到海外以避免欧盟关税。;-;卡在中间的哈雷戴维森表示，它每年可能会损失1亿美元，因此该公司决定将一些生产转移到海外，以避免欧盟关税。;-;2-3;1x2;1x3
There ' s zero hostility with me .;-;对我没有敌意。;-;对我的敌意为零。;-;对我没有敌意。;-;1-3;1x2;2x3
Let ' s take a step back here and think of what happened here in Washington on Tuesday .;-;让我们回到这里，想想周二在华盛顿发生的事情。;-;让我们退后一步，想想周二在华盛顿发生的事情。;-;让我们退后一步，想想周二在华盛顿发生的事情。;-;2-3;1x2;1x3
But even so , they remain bastions of privilege .;-;但即便如此，它们仍然是特权的堡垒。;-;但即便如此，它们仍然是特权的堡垒。;-;但即便如此，他们仍然是特权的堡垒。;-;1-2;1-3;2-3
The Census Bureau estimates they will reach a majority of the under 18 population around 2020 .;-;人口普查局估计，到2020年左右，他们将覆盖18岁以下人口的大多数。;-;人口普查局估计，他们将在2020年左右覆盖大部分18岁以下的人口。;-;人口普查局估计，到2020年左右，它们将覆盖18岁以下人口的大多数。;-;1-2;1-3;2-3
The UC Latino students are 25 times more likely to finish their degrees on time than Latinos in the community college system .;-;加州大学拉美裔学生按时完成学位的可能性是社区大学体系中拉美裔学生的25倍。;-;在社区大学系统中，加州大学拉丁裔学生按时完成学位的可能性是拉丁裔学生的25倍。;-;在社区大学系统中，加州大学拉丁裔学生按时完成学位的可能性是拉丁裔学生的25倍。;-;1-2;1-3;2-3
But it would keep the new investment in Michigan and focus there on self driving vehicles , according to reports .;-;但据报道，该公司将继续在密歇根州进行新的投资，并将重点放在自动驾驶汽车上。;-;但据报道，它将保留在密歇根州的新投资，并将重点放在自动驾驶汽车上。;-;但据报道，它将把新的投资留在密歇根州，并专注于自动驾驶汽车。;-;2-3;1x2;1x3
Meanwhile , whites still fill most of the seats at the most selective institutions , which spend the most on their students .;-;与此同时，白人仍然占据了最具选择性的院校的大部分席位，这些院校在学生身上花费最多。;-;与此同时，在最挑剔的机构中，白人仍然占据了大部分席位，这些机构在学生身上的花费最多。;-;与此同时，白人仍然占据了最挑剔的机构的大部分席位，这些机构在学生身上花费最多。;-;2-3;1x2;1x3
The Marijuana Policy Project , a group which seeks to decriminalize marijuana , said the law is a great step forward and provides patients with more treatment options .;-;大麻政策项目是一个寻求大麻合法化的组织，该组织表示，这项法律是向前迈出的一大步，为患者提供了更多的治疗选择。;-;寻求将大麻合法化的组织大麻政策项目表示，该法律是向前迈出的一大步，为患者提供了更多的治疗选择。;-;大麻政策项目是一个旨在将大麻合法化的组织，该组织表示，该法律是向前迈出的一大步，并为患者提供了更多的治疗选择。;-;1-3;1-2;2-3
I have always said to my friends that focusing just on affirmative action ... is not a solution .;-;我总是对我的朋友说，只关注平权行动。。。这不是解决办法。;-;我一直对我的朋友说，只关注平权行动……不是解决方案。;-;我总是对我的朋友说，只关注平权行动......不是解决方案。;-;1-2;1-3;2-3
Then , just hours after the terrorist attacks in 2001 , he witnessed a wartime President Bush as he comforted staffers aboard Air Force One .;-;然后，就在2001年恐怖袭击发生几小时后，他目睹了战时的布什总统在空军一号上安慰工作人员。;-;然后，就在2001年恐怖袭击发生几个小时后，他目睹了战时总统布什在空军一号上安慰工作人员时的情景。;-;然后，在2001年恐怖袭击发生几个小时后，他目睹了战时总统布什在空军一号上安慰工作人员。;-;1-2;1-3;2-3
We see China doing that .;-;我们看到中国正在这样做。;-;我们看到中国正在这样做。;-;我们看到中国正在这样做。;-;1-2;1-3;2-3
Alito said that the law did not support their argument .;-;阿利托说，法律不支持他们的论点。;-;阿利托说，法律不支持他们的论点。;-;阿利托说，法律不支持他们的论点。;-;1-2;1-3;2-3
I had a story to tell and I wanted to finish it , Draper says .;-;德雷珀说：“我有一个故事要讲，我想把它讲完。”。;-;德雷珀说，我有一个故事要讲，我想完成它。;-;我有一个故事要讲，我想把它讲完，德雷珀说。;-;1-2;1-3;2-3
They do not know what to do with him !;-;他们不知道该拿他怎么办！;-;他们不知道拿他怎么办！;-;他们不知道该怎么处理他！;-;1-2;1x3;2x3
Trump promised that if he were elected , the company would stay .;-;特朗普承诺，如果他当选，公司将留下来。;-;特朗普承诺说，如果他被选为，公司将留下来。;-;特朗普承诺，如果他当选，该公司将留下来。;-;1-2;1-3;2-3
We , too , have seen the face of such evil with attacks in places such as Charlottesville , Pittsburgh , and Charleston .;-;我们也在夏洛茨维尔、匹兹堡和查尔斯顿等地看到了这种邪恶的面孔。;-;我们也曾在夏洛茨维尔、匹兹堡和查尔斯顿等地看到过这种邪恶的攻击面。;-;我们也看到了这种邪恶的面孔，在夏洛茨维尔，匹兹堡和查尔斯顿等地遭到袭击。;-;1-3;1x2;2x3
And attacking a dead man who spent five years as a prisoner of war and another three decades serving the country in elected office , is simply wrong .;-;而攻击一个作为战俘生活了五年，又在民选政府中为国家服务了三十年的死人，完全是错误的。;-;攻击一个死去的人，他作为战俘做了五年战俘，又在民选职位上为国家服务了三年，这是完全错误的。;-;攻击一个作为战俘度过了五年，又在民选公职中为国家服务了三十年的死者，是完全错误的。;-;1-3;1x2;2x3
The search warrants released Tuesday say that the special counsel ' s office referred certain aspects of its investigation into Cohen to the New York based US Attorney ' s Office .;-;周二公布的搜查令显示，特别检察官办公室将其对科恩的调查的某些方面转交给了总部位于纽约的美国检察官办公室。;-;周二公布的搜查令称，特别检察官办公室将其对科恩的调查的某些方面提交给了位于纽约的美国检察官办公室。;-;周二发布的搜查令称，特别检察官办公室将其对科恩调查的某些方面提交给了总部位于纽约的美国检察官办公室。;-;1-2;1-3;2-3
During a question and answer session , however , Nielsen added that other nation states have adopted a more visible approach to doing the same .;-;然而，在一次问答环节中，尼尔森补充说，其他民族国家也采取了更明显的做法。;-;然而，在问答环节中，尼尔森补充说，其他民族国家也采取了更明显的方法来做同样的事情。;-;然而，在问答环节中，尼尔森补充说，其他民族国家也采取了更明显的方法来做同样的事情。;-;2-3;1x2;1x3
In these top tier public schools , African American and Latino students compose only 19 % of the entering class .;-;在这些顶级公立学校，非裔美国人和拉丁裔学生只占入学人数的19%。;-;在这些顶级公立学校中，非裔美国人和拉丁裔学生仅占入学班级的19%。;-;在这些顶级公立学校中，非裔美国人和拉丁裔学生仅占入学班级的19%。;-;1-2;1-3;2-3
In a series of pointed tweets , Trump said the economy is good , so Chevy should keep the plant , the closure of which was announced back in November .;-;在一系列有针对性的推文中，特朗普表示经济状况良好，因此雪佛兰应该保留该工厂，该工厂已于11月宣布关闭。;-;在一系列尖锐的推文中，特朗普表示经济状况良好，因此雪佛兰应该保留该工厂，该工厂于11月宣布关闭。;-;在一系列尖锐的推文中，特朗普表示经济状况良好，因此雪佛兰应该保留该工厂，该工厂于11月宣布关闭。;-;1-2;1-3;2-3
The idling of the General Motors plant in Lordstown , Ohio , is what has angered Trump at the moment .;-;通用汽车俄亥俄州洛德斯敦工厂的闲置是目前激怒特朗普的原因。;-;通用汽车位于俄亥俄州洛兹敦的工厂停产，是目前激怒特朗普的原因。;-;通用汽车位于俄亥俄州洛兹敦的工厂空转，是目前激怒特朗普的原因。;-;1-2;1-3;2-3
Trump has not repaired his relationship with Bannon after a bitter split , people familiar with the two men say .;-;熟悉这两人的人士说，特朗普在经历了痛苦的分裂后，还没有修复与班农的关系。;-;熟悉这两个人的人士说，特朗普在经历了一场痛苦的分裂之后并没有修复他与班农的关系。;-;知情人士称，特朗普在痛苦分裂后仍未修复与班农的关系。;-;1-2;1x3;2x3
When asked about the threat from drones , Nielsen said during the Super Bowl the department tried out new defenses and confirmed that we did see drones .;-;当被问及无人机的威胁时，尼尔森说，在超级碗期间，国防部尝试了新的防御措施，并确认我们确实看到了无人机。;-;当被问及无人机的威胁时，尼尔森说，在超级碗期间，该部门尝试了新的防御措施，并证实我们确实看到了无人机。;-;当被问及无人机的威胁时，尼尔森表示，在超级碗期间，该部门尝试了新的防御措施，并证实我们确实看到了无人机。;-;2-3;1x2;1x3
Mueller also received warrant approvals on November 7 , 2017 , and January 4 , 2018 , to track the numbers of Cohen ' s incoming and outgoing phone calls and other phone call metadata .;-;穆勒还于2017年11月7日和2018年1月4日获得授权，以追踪科恩的来电和外线电话号码以及其他电话元数据。;-;穆勒还于2017年11月7日和2018年1月4日获得授权批准，以跟踪科恩的来电和去电数量以及其他电话元数据。;-;穆勒还于2017年11月7日和2018年1月4日获得了授权批准，以跟踪科恩的来电和呼出电话以及其他电话元数据的数量。;-;1x2;1x3;2x3
The situation at the southern border , which started as a crisis , is now a near system wide meltdown .;-;南部边境的局势起初是一场危机，现在几乎是全系统的崩溃。;-;南部边境的局势最初是一场危机，现在几乎是全系统的崩溃。;-;南部边境的局势最初是一场危机，现在几乎是全系统的崩溃。;-;1-2;1-3;2-3
He was joined by Justices Ruth Bader Ginsburg , Elena Kagan and Sonia Sotomayor .;-;法官露丝·贝德·金斯伯格、埃琳娜·卡根和索尼娅·索托马约尔也加入了他的行列。;-;大法官RuthBaderGinsburg、ElenaKagan和SoniaSotomayor也加入了他的行列。;-;RuthBaderGinsburg法官，ElenaKagan法官和SoniaSotomayor法官也加入了他的行列。;-;1-2;1-3;2-3
After pleading guilty in the Manhattan probe , Cohen also later pleaded guilty to lying to Congress in a case brought by Mueller ' s investigators .;-;在曼哈顿调查中认罪后，科恩后来还承认在穆勒的调查人员提起的一个案件中向国会撒谎。;-;在曼哈顿调查中认罪后，科恩后来也承认在穆勒的调查人员提起的案件中向国会撒谎。;-;在曼哈顿调查中认罪后，科恩后来也承认在穆勒的调查人员提起的案件中向国会撒谎。;-;1-2;1-3;2-3
It ' s been a long time in the making .;-;这是一个漫长的过程。;-;酝酿已久。;-;它已经酝酿了很长时间。;-;1x2;1x3;2x3
Through his lens , Draper witnessed what he calls a sense of innocence from the pre 9/11 President Bush , a man who enjoyed driving his pickup truck around the family ranch .;-;通过他的镜头，德雷珀目睹了他所说的9·11事件前的布什总统的纯真感。布什总统喜欢开着他的皮卡车在家里的农场里转来转去。;-;通过他的镜头，德雷珀目睹了他所谓的9/11前总统布什的纯真感，他喜欢在家庭牧场周围驾驶他的皮卡车。;-;通过他的镜头，德雷珀目睹了他所谓的9/11总统布什的天真感，这个人喜欢驾驶他的皮卡车在家庭牧场周围转悠。;-;2-3;1x2;1x3
Nielsen said the most serious cyber threats are those aimed at the heart of democracy .;-;尼尔森说，最严重的网络威胁是那些针对民主核心的威胁。;-;尼尔森表示，最严重的网络威胁是针对民主核心的威胁。;-;尼尔森说，最严重的网络威胁是那些针对民主核心的威胁。;-;1-2;1-3;2-3
But parents of undergraduates and graduate students face no such limits , and can borrow as much as they need with the price tag set by schools .;-;但是本科生和研究生的家长没有这样的限制，他们可以按照学校设定的价格，借到他们所需要的钱。;-;但本科生和研究生的家长没有这样的限制，他们可以根据学校规定的价格借多少借多少。;-;但是本科生和研究生的父母没有这样的限制，他们可以在学校设定的价格标签下借到他们需要的尽可能多的钱。;-;1x2;1x3;2x3
From an equity perspective , this is just the tip of the iceberg , says Anthony Carnevale , director of the Center on Education and the Workforce at Georgetown University .;-;乔治敦大学教育和劳动力中心主任安东尼·卡内瓦尔说，从公平的角度来看，这只是冰山一角。;-;从公平的角度来看，这只是冰山一角，乔治城大学教育和劳动力中心主任安东尼卡内维尔说。;-;从公平的角度来看，这只是冰山一角，乔治城大学教育和劳动力中心主任安东尼·卡内维尔说。;-;1-2;1-3;2-3
He campaigned on repealing and replacing Obamacare for years and then he got to a vote and he said thumbs down .;-;多年来，他一直在为废除和取代奥巴马医改而竞选，后来他进行了投票，并表示反对。;-;他多年来一直在竞选废除和取代奥巴马医改，然后他进行了投票，他表示不赞成。;-;多年来，他一直在竞选废除和取代奥巴马医改，然后他进行了投票，他说竖起大拇指。;-;1-2;1x3;2x3
Breyer said far more was at issue in the case than the technical meaning of the words in the immigration statute .;-;布雷耶说，本案中的争议远不止移民法中这些词语的技术含义。;-;布雷耶说，本案的争议远不止移民法规中词语的技术含义。;-;布雷耶说，本案中的争议远远超过移民法规中这些词的技术含义。;-;1-2;1-3;2-3
Instead , in describing to a federal judge the probable cause they had to investigate Cohen ' s campaign finance scheme , investigators write almost 20 pages of detail that are all redacted .;-;相反，在向联邦法官描述调查科恩竞选资金计划的可能原因时，调查人员写下了近20页的细节，这些细节都是经过编辑的。;-;相反，在向联邦法官描述他们不得不调查科恩的竞选财务计划的可能原因时，调查人员写了近20页的细节，这些细节都被删节了。;-;相反，在向联邦法官描述他们必须调查科恩竞选资金计划的可能原因时，调查人员写了近20页的细节，这些细节都被编辑了。;-;1-3;1x2;2x3
The South has emerged as a hub of new auto manufacturing by foreign makers thanks to lower manufacturing costs and less powerful unions .;-;由于制造成本降低和工会力量减弱，韩国已成为外国制造商新的汽车制造中心。;-;由于较低的制造成本和较弱的工会，南方已成为外国制造商新的汽车制造中心。;-;由于制造成本降低和工会力量减弱，韩国已成为外国制造商制造新汽车的中心。;-;1-3;1x2;2x3
We see Iran doing that .;-;我们看到伊朗这样做。;-;我们看到伊朗正在这样做。;-;我们看到伊朗这样做。;-;1-2;1-3;2-3
He said the greater importance of the case lies in the power that the majority opinion grants to the government .;-;他说，该案的更重要之处在于多数意见赋予政府的权力。;-;他说，此案的更大重要性在于多数意见赋予政府的权力。;-;他说，此案的更大重要性在于多数意见赋予政府的权力。;-;1-2;1-3;2-3
Mueller ' s search warrant justifications related to Cohen that were provided to DC federal court are not yet public .;-;穆勒向DC联邦法院提供的与科恩有关的搜查令理由尚未公开。;-;穆勒向哥伦比亚特区联邦法院提供的与科恩有关的搜查令理由尚未公开。;-;穆勒向华盛顿特区联邦法院提供的与科恩有关的搜查令理由尚未公开。;-;1-2;1-3;2-3
They will love the wringing of hands and woe is me reaction by who they believe to be elites .;-;他们会喜欢绞着手的感觉，而他们认为自己是精英的人对我的反应就是悲哀。;-;他们会喜欢手的绞痛，而我对他们认为是精英的人的反应是悲哀的。;-;他们会喜欢拧手和不幸是我的反应，他们认为谁是精英。;-;1x2;1x3;2x3
A year later , in December of 2017 , Ford again shifted plans and announced it would make those electric cars in Mexico after all .;-;一年后的2017年12月，福特再次改变计划，宣布将在墨西哥生产这些电动汽车。;-;一年后，即2017年12月，福特再次改变计划，并宣布将在墨西哥生产这些电动汽车。;-;一年后，即2017年12月，福特再次改变计划，宣布将在墨西哥生产这些电动汽车。;-;1-2;1-3;2-3
It ' s not just a matter of sending money their way .;-;这不仅仅是按他们的方式汇款的问题。;-;这不仅仅是按照他们的方式汇款的问题。;-;这不仅仅是以他们的方式汇款的问题。;-;1-2;1-3;2-3
Now it will utilize the site to make smaller flat screen panels than originally anticipated .;-;现在，它将利用该网站制作比最初预期更小的平板屏幕。;-;现在它将利用该网站制造比最初预期更小的平板屏幕。;-;现在，它将利用该网站制作比原先预期的更小的平板面板。;-;1-2;1-3;2-3
Whites compose only 54 % of the college age population .;-;白人只占大学适龄人口的54%。;-;白人仅占大学年龄人口的54%。;-;白人仅占大学年龄人口的54%。;-;1-2;1-3;2-3
I think drones is a great example of where technology itself is not good or bad .;-;我认为无人机是一个很好的例子，说明了技术本身的好坏。;-;我认为无人机是一个很好的例子，说明技术本身没有好坏之分。;-;我认为无人机是一个很好的例子，说明技术本身并不好或坏。;-;1x2;1x3;2x3
And they loved it .;-;他们很喜欢。;-;他们喜欢它。;-;他们喜欢它。;-;1-2;1-3;2-3
Trump was not afraid of slaughtering a sacred cow or all the sacred cows !;-;特朗普不怕宰杀一头神牛或所有神牛！;-;特朗普不怕宰一头神牛，也不怕所有神牛！;-;特朗普不怕宰杀一头神圣的牛或所有的神牛！;-;1-3;1x2;2x3
I am very concerned about whether these institutions are doing a good enough job at getting these students to graduation .;-;我非常担心这些院校在让这些学生毕业方面是否做得足够好。;-;我非常担心这些机构是否在让这些学生毕业方面做得足够好。;-;我非常担心这些机构在让这些学生毕业方面是否做得足够好。;-;2-3;1x2;1x3
Covering a memorial service in the nation ' s capital and then traveling to Texas for another service as well as a funeral train was an honor , he says .;-;他说，在美国首都报道一场追悼会，然后前往得克萨斯州参加另一场追悼会和葬礼列车是一种荣誉。;-;他说，在美国首都报道一场追悼会，然后前往德克萨斯参加另一场仪式以及乘坐葬礼火车，这是一种荣誉。;-;他说，在国家首都举行追悼会，然后前往德克萨斯州参加另一次服务以及葬礼列车是一种荣誉。;-;1x2;1x3;2x3
GM has routinely drawn Trump ' s scorn even as Ford has gotten his praise .;-;即使福特得到了特朗普的赞扬，通用汽车也经常受到他的嘲笑。;-;即使福特得到了特朗普的赞扬，通用汽车也经常招来特朗普的蔑视。;-;通用汽车经常引起特朗普的蔑视，即使福特得到了他的赞扬。;-;1-2;1-3;2-3
It says , he thinks , that he will not let the rules that past crappy politicians have lived by govern him .;-;他认为，它说，他不会让过去蹩脚的政客们所遵循的规则来统治他。;-;他认为，这表明他不会让过去的蹩脚政客赖以生存的规则支配他。;-;他认为，它说，他不会让过去蹩脚的政客赖以生存的规则统治他。;-;1x2;1x3;2x3
President Bush never took himself too seriously .;-;布什总统从不把自己当回事。;-;布什总统从不把自己看得太重。;-;布什总统从不把自己太当回事。;-;1-2;1-3;2-3
Cohen is scheduled to report to prison on May 6 .;-;科恩计划于5月6日到监狱报到。;-;科恩定于5月6日到监狱报到。;-;科恩定于5月6日到监狱报到。;-;1-2;1-3;2-3
Trump , then President elect , was pleased .;-;当时的当选总统特朗普很高兴。;-;特朗普，然后是总统选喜，很高兴。;-;当时的当选总统特朗普很高兴。;-;1-3;1x2;2x3
It ' s a shame what ' s happening in Venezuela , the death and the destruction and the hunger .;-;委内瑞拉正在发生的一切，死亡、破坏和饥饿，真是令人遗憾。;-;委内瑞拉发生的事情，死亡、破坏和饥饿，真是令人遗憾。;-;委内瑞拉正在发生的事情，死亡，破坏和饥饿，真是太可惜了。;-;1-2;1-3;2-3
The system is breaking .;-;系统正在崩溃。;-;系统正在崩溃。;-;系统正在崩溃。;-;1-2;1-3;2-3
