origin;-;baidu;-;google;-;bing;-;1x2;1x3;2x3
The song draws inspiration from Prince and George Michael and incorporates funk falsettos that contrast with the singer 's signature raspy voice .;-;这首歌的灵感来源于普林斯和乔治·迈克尔，并融入了与这位歌手标志性的刺耳嗓音形成对比的芬克假声。;-;这首歌的灵感来自普林斯和乔治·迈克尔，并融合了放克假声，与歌手标志性的刺耳声音形成鲜明对比。;-;这首歌从普林斯和乔治迈克尔那里汲取灵感，并融入了放克假唱，与歌手标志性的沙哑声音形成鲜明对比。;-;1-2;1-3;2-3
The song celebrates love and how a relationship should feel " as easy as blowing smoke , " McLean said .;-;麦克林说，这首歌歌颂了爱情，以及一段感情应该如何“像吹烟一样轻松”。;-;这首歌颂扬了爱情，以及一段关系应该如何“像吹烟一样容易”，麦克莱恩说。;-;麦克莱恩说，这首歌颂扬了爱情，以及一段关系应该如何“像吹烟一样容易”。;-;1-2;1-3;2-3
CNN has reached out to Lopez and reps for Desus , Mero and Showtime for comment about the allegations .;-;美国有线电视新闻网已联系洛佩兹以及德苏斯、梅洛和Showtime的代表，就这些指控发表评论。;-;CNN已经联系了洛佩兹和Desus、Mero和Showtime的代表，就这些指控发表评论。;-;CNN已经联系了Lopez以及Desus，Mero和Showtime的代表，以就这些指控发表评论。;-;1-2;1-3;2-3
" Visual effects create the magic that makes people want to go to the movies , " Lucas says , but his pal Steven Spielberg adds the cautionary note , " When the effects become the story , we 've lost our way .;-;卢卡斯说：“视觉特效创造了一种魔力，让人们想去看电影，”但他的朋友史蒂文·斯皮尔伯格补充道，“当特效成为故事时，我们就迷失了方向。;-;“视觉效果创造了让人们想去看电影的魔力，”卢卡斯说，但他的朋友史蒂文斯皮尔伯格补充说，“当效果变成故事时，我们就迷失了方向。;-;“视觉效果创造了让人们想去看电影的魔力，”卢卡斯说，但他的朋友史蒂文·斯皮尔伯格补充了一句警告，“当视觉效果变成故事时，我们就迷失了方向。;-;1-2;1-3;2-3
At least the men who have portrayed them on the big screen have gotten back together , with Jason Momoa posting a picture of himself with Ben Affleck on his verified Instagram account .;-;至少那些在大银幕上扮演他们的男人们已经重归于好，杰森·莫莫在其已核实的Instagram账户上发布了自己与本·阿弗莱克的合影。;-;至少那些在大银幕上描绘过他们的男人们重新聚在一起，杰森·莫玛在他经过验证的Instagram帐户上发布了一张自己与本·阿弗莱克的合影。;-;至少在大银幕上饰演他们的男人已经重新聚在一起，杰森·莫莫阿在他经过验证的Instagram帐户上发布了自己与本·阿弗莱克的照片。;-;1x2;1x3;2x3
It 's not a full album yet , but three songs from the " Black Panther : Wakanda Forever " soundtrack are now available for streaming .;-;虽然这张专辑还不完整，但《黑豹：永远的Wakanda》配乐中的三首歌曲现在可以流媒体播放。;-;这还不是一张完整的专辑，但“黑豹：永远的瓦坎达”配乐中的三首歌曲现在可以流式传输。;-;这还不是一张完整的专辑，但“黑豹：永远的瓦坎达”原声带中的三首歌现在可以流式传输。;-;1x2;1x3;2x3
Harris ' Michael is stunned when his longtime partner Colin announces that he 's moving out , leaving him alternately wondering what went wrong and eager to reconcile .;-;当哈里斯的老搭档科林宣布他要搬走时，迈克尔感到震惊，他时而纳闷到底出了什么问题，时而急于和解。;-;哈里斯的迈克尔在他的长期搭档科林宣布他要搬出去时惊呆了，让他时而想知道出了什么问题，又急于和解。;-;哈里斯的迈克尔惊呆了，因为他的长期伴侣科林宣布他要搬出去，让他交替想知道出了什么问题，并渴望和解。;-;1x2;1x3;2x3
Jennings will host as the new season begins in September , as well as act as host for the Second Chance competition and Tournament of Champions , the announcement said .;-;声明称，詹宁斯将在9月新赛季开始时担任东道主，并担任第二次机会赛和冠军锦标赛的东道主。;-;公告称，詹宁斯将在新赛季于9月开始时担任东道主，并担任第二次机会比赛和冠军赛的东道主。;-;公告称，詹宁斯将在9月新赛季开始时主持，并担任第二次机会比赛和冠军锦标赛的主持人。;-;1x2;1x3;2x3
Pinkett Smith suffers hair loss due to alopecia , an autoimmune condition that can lead to hair loss .;-;PinkettSmith因脱发而脱发，这是一种可导致脱发的自身免疫性疾病。;-;平克特史密斯因脱发而脱发，脱发是一种可导致脱发的自身免疫性疾病。;-;PinkettSmith因脱发而脱发，这是一种可导致脱发的自身免疫性疾病。;-;1-2;1-3;2-3
Marvel 's success has owed a great deal to the fact that its movies are seen as events by fans , and the connectedness of its universe has undoubtedly contributed mightily to that dynamic .;-;漫威的成功在很大程度上归功于它的电影被影迷视为事件，其宇宙的连通性无疑为这一动态做出了巨大贡献。;-;漫威的成功很大程度上归功于其电影被粉丝视为事件的事实，而其宇宙的连通性无疑为这种动态做出了巨大贡献。;-;漫威的成功很大程度上归功于这样一个事实，即它的电影被粉丝视为事件，而其宇宙的联系无疑为这种动态做出了巨大贡献。;-;1-2;1-3;2-3
On Instagram , she thanked Beyoncé and her collaborators , writing , " To share my Chicago house music roots and black queer and trans culture with you and the world is profound and emotional .;-;在Instagram上，她感谢碧昂斯和她的合作者，并写道：“与你们分享我的芝加哥家庭音乐根源和黑人酷儿和跨文化，世界是深刻和感性的。;-;在Instagram上，她感谢Beyoncé和她的合作者，写道：“与你和世界分享我的芝加哥家庭音乐根源以及黑人酷儿和跨性别文化是深刻而感人的。;-;在Instagram上，她感谢碧昂斯和她的合作者，写道：“与你和世界分享我的芝加哥音乐根源，黑人酷儿和跨性别文化是深刻而感性的。;-;1-2;1-3;2-3
And even though ' Smoke ' is an amazing record , it 's still not the best record on the album .;-;尽管《烟》是一张令人惊叹的唱片，但它仍然不是这张专辑中最好的唱片。;-;尽管“Smoke”是一张了不起的唱片，但它仍然不是专辑中最好的唱片。;-;尽管“Smoke”是一张了不起的唱片，但它仍然不是专辑中最好的唱片。;-;1-2;1-3;2-3
So soft that he burst into tears when his daughter Mira Sorvino dedicated her 1996 best supporting actress Academy Award for her role in " Mighty Aphrodite " to him .;-;当他的女儿米拉·索维诺因在《壮丽的阿芙罗狄蒂》中扮演的角色而将1996年奥斯卡最佳女配角奖颁给他时，他不禁潸然泪下。;-;当他的女儿米拉·索维诺将1996年最佳女配角奥斯卡奖授予他时，他是如此柔软，以至于她在《全能的阿芙罗狄蒂》中扮演的角色献给了他。;-;当他的女儿米拉·索维诺将她1996年奥斯卡最佳女配角奖献给他时，他泪流满面，因为她在“强大的阿佛洛狄忒”中扮演的角色。;-;1x2;1x3;2x3
Whether struggling to survive or exhibiting her workaholic side in the flashbacks , Barrera holds up her end of the bargain , but the writing simply does n't .;-;无论是挣扎着生存，还是在闪回中展现出她工作狂的一面，巴雷拉都坚持了自己的交易目的，但写作根本没有。;-;无论是努力生存还是在倒叙中展示她工作狂的一面，巴雷拉都坚持了她的讨价还价，但写作根本没有。;-;无论是挣扎求生，还是在闪回中展示她工作狂的一面，巴雷拉都坚持着她的交易，但写作根本没有。;-;1x2;1x3;2x3
" If you hang on I promise we 'll be able to be friends again , " he concludes .;-;“如果你坚持下去，我保证我们会再次成为朋友，”他总结道。;-;“如果你坚持下去，我保证我们将能够再次成为朋友，”他总结道。;-;“如果你坚持下去，我保证我们会再次成为朋友，”他总结道。;-;1-2;1-3;2-3
Smith also apologizes to Rock 's mother , family and his brother , Tony Rock , who had starred in the 2007 sitcom " All of Us , " which was created by Smith and his wife Jada Pinkett Smith .;-;史密斯还向洛克的母亲、家人和弟弟托尼·洛克致歉。托尼·洛克曾主演了2007年由史密斯和妻子贾达·平克特·史密斯创作的情景喜剧《我们所有人》。;-;史密斯还向洛克的母亲、家人和他的兄弟托尼·洛克道歉，后者曾在2007年的情景喜剧“我们所有人”中出演，该片由史密斯和他的妻子贾达·平克特·史密斯创作。;-;史密斯还向洛克的母亲，家人和他的兄弟托尼·洛克道歉，托尼·洛克曾出演过2007年由史密斯和他的妻子贾达·平克特·史密斯创作的情景喜剧“我们所有人”。;-;1-2;1-3;2-3
For Backstreet Boys ' AJ McLean , pursuing a solo career does n't mean he has to step away from the band with which he 's performed for almost 30 years .;-;对于后街男孩的AJMcLean来说，追求独唱生涯并不意味着他必须离开与他一起演出了近30年的乐队。;-;对于后街男孩的AJMcLean来说，追求独奏生涯并不意味着他必须离开与他合作了近30年的乐队。;-;对于BackstreetBoys的AJMcLean来说，追求独奏生涯并不意味着他必须离开与他一起演出近30年的乐队。;-;1-2;1-3;2-3
Mero said Lopez was told by his then boss that if he wanted to stay employed at the company , he needed to distance himself from Mero .;-;梅洛说，洛佩兹当时的老板告诉他，如果他想继续在公司工作，他需要与梅洛保持距离。;-;梅罗说，他当时的老板告诉洛佩兹，如果他想继续在公司工作，他需要与梅罗保持距离。;-;梅罗说，洛佩兹当时的老板告诉他，如果他想留在公司工作，他需要与梅罗保持距离。;-;1-2;1-3;2-3
In July 2021 , a judge at a court near Barcelona ruled that the Colombian singer could stand trial for alleged tax evasion of 14 .;-;20217月，巴塞罗那附近一家法院的法官裁定，这位哥伦比亚歌手可能因涉嫌逃税14英镑而受审。;-;2021年7月，巴塞罗那附近一家法院的一名法官裁定，这位哥伦比亚歌手可以因涉嫌逃税14岁而受审。;-;2021年7月，巴塞罗那附近一家法院的一名法官裁定，这位哥伦比亚歌手可能因涉嫌逃税14人而受审。;-;1-2;1-3;2-3
Neither man has revealed what they are working on next and it remains to be seen if the two will reunite professionally or personally .;-;两人都没有透露下一步的工作内容，两人是否会在职业上或个人上重聚还有待观察。;-;两人都没有透露他们接下来要做什么，两人是否会在职业上或个人上重聚还有待观察。;-;两人都没有透露他们接下来要做什么，两人是否会在专业或个人上重聚还有待观察。;-;1-2;1-3;2-3
In April , he tweeted a screenshot of an iPhone Note he 'd written that said he often " feels like he 's either flying or drowning .;-;今年4月，他在推特上发布了一张他写的iPhone便条的截图，上面说他经常“感觉自己要么在飞，要么在淹死”。;-;今年4月，他在推特上发布了一张他写的iPhoneNote的截图，说他经常“感觉自己要么在飞，要么在溺水。;-;今年四月，他在推特上发布了一张他写的iPhoneNote的截图，上面写着他经常“感觉自己要么在飞，要么在淹死。;-;1x2;1x3;2x3
" The number one priority amongst the five of us is Backstreet Boys , which is at the epicenter , " he said .;-;他说：“我们五个人中最重要的是后街男孩，它位于震中。”。;-;“我们五个人中的第一要务是后街男孩，它位于震中，”他说。;-;“我们五个人中的头号优先事项是BackstreetBoys，它位于震中，”他说。;-;1x2;1x3;2x3
Smith says he " spent the last three months replaying and understanding the nuance and the complexities of what happened in that moment .;-;史密斯说，他“在过去的三个月里重演并理解了那一刻发生的事情的细微差别和复杂性。;-;史密斯说，他“在过去的三个月里一直在重演和理解那一刻发生的事情的细微差别和复杂性。;-;史密斯说，他“在过去的三个月里，他重播并理解了那一刻发生的事情的细微差别和复杂性。;-;1-2;1x3;2x3
Beyoncé cements her ability to go beyond just singing with songs like " Cozy " and " Church Girl , " in which she gives us a sample of her ability to spit a little bit .;-;碧昂斯用《舒适》和《教堂女孩》等歌曲巩固了自己的能力，在这些歌曲中，她向我们展示了自己的吐痰能力。;-;Beyoncé巩固了她超越唱歌的能力，例如“Cozy”和“ChurchGirl”等歌曲，她向我们展示了她吐口水的能力。;-;碧昂斯巩固了她的能力，她超越了仅仅用“Cozy”和“ChurchGirl”等歌曲唱歌的能力，她在其中为我们提供了她吐痰能力的样本。;-;1x2;1x3;2x3
This Kid Mero dude , man he 's funny as f *** , ' " Mero recalled of those early years in the clip .;-;“这个梅洛小子，伙计，他像f一样有趣，”梅洛回忆起那段早年的时光。;-;这个孩子梅罗老兄，他很有趣，'”梅罗回忆起剪辑中的那些早年。;-;这个KidMero家伙，他很有趣，就像f***，'“Mero回忆起剪辑中的早期岁月。;-;1x2;1x3;2x3
Rock has made subtle nods to the slap in comedy shows in the months since , but he has not publicly addressed it at length .;-;自那以后的几个月里，罗克对喜剧节目中的这一巴掌表示了微妙的赞同，但他并没有就此公开发表长篇大论。;-;从那以后的几个月里，洛克对喜剧节目中的耳光做出了微妙的点头，但他没有详细地公开谈论它。;-;从那以后的几个月里，罗克在喜剧节目中对这个耳光做出了微妙的致敬，但他没有公开详细地谈论过这个问题。;-;1x2;1x3;2x3
Later , both men admitted to killing Till but they were indemnified from further justice by double jeopardy .;-;后来，两人都承认杀害了蒂尔，但他们因双重危险而免于进一步的审判。;-;后来，两人都承认杀死了蒂尔，但他们因双重危险而免于进一步伸张正义。;-;后来，两人都承认杀害了蒂尔，但他们因双重危险而免于进一步的正义。;-;1x2;1x3;2x3
CNN : I was told Dodger was going be here , and I see him roaming about .;-;CNN：有人告诉我道奇要来这里，我看到他在四处游荡。;-;CNN：有人告诉我道奇会在这里，我看到他在四处游荡。;-;CNN：我被告知道奇会在这里，我看到他四处游荡。;-;1-2;1-3;2-3
The younger Phillippe has been mostly delving into music prior to acting , releasing his debut track in 2020 .;-;年轻的菲利普在演戏之前主要从事音乐方面的研究，于2020年发行了他的首张曲目。;-;年轻的菲利普在演戏之前大部分时间都在钻研音乐，并在2020年发布了他的首张曲目。;-;年轻的菲利普在表演之前一直在深入研究音乐，并于2020年发行了他的首张专辑。;-;1-2;1-3;2-3
A look at some of the shows and movies streaming on Netflix , Amazon , Hulu and Disney + in August .;-;看看8月份在Netflix、亚马逊、Hulu和迪士尼+上播放的一些节目和电影。;-;看看8月份在Netflix、亚马逊、Hulu和Disney+上播放的一些节目和电影。;-;看看八月份在Netflix，亚马逊，Hulu和Disney+上播放的一些节目和电影。;-;1-2;1-3;2-3
CNN has reached out to the prosecutor 's office for comment , but there has been no response yet .;-;美国有线电视新闻网已向检察官办公室寻求置评，但尚未得到回应。;-;美国有线电视新闻网已联系检察官办公室征求意见，但尚未得到回应。;-;CNN已联系检察官办公室征求意见，但尚未得到回应。;-;1-2;1-3;2-3
The two were each favorites of Black Twitter for their witty tweets , before coming together professionally in December 2013 to offer their takes on pop culture with the Complex podcast , " Desus vs.;-;这两个人在2013年12月专业合作，在复杂的播客“Desusvs。;-;两人都是BlackTwitter的最爱，因为他们的诙谐推文，然后在2013年12月专业地聚在一起，通过Complex播客“Desusvs.;-;两人都是BlackTwitter最爱的诙谐推文，然后在2013年12月专业地聚集在一起，通过Complex播客“Desusvs.;-;1x2;1x3;2-3
In a ruling obtained by CNN , the investigating magistrate said that there is " sufficient evidence " to hold a trial for Shakira 's alleged tax evasion for the years of 2012 , 2013 and 2014 .;-;在美国有线电视新闻网获得的一项裁决中，调查法官表示，有“足够的证据”对夏奇拉2012年、2013年和2014年的逃税指控进行审判。;-;在美国有线电视新闻网获得的一项裁决中，调查法官表示，有“足够的证据”对夏奇拉涉嫌在2012年、2013年和2014年逃税进行审判。;-;在CNN获得的一项裁决中，调查法官表示，有“足够的证据”可以对夏奇拉涉嫌2012年，2013年和2014年的逃税行为进行审判。;-;1-2;1-3;2-3
I 'm a passionate dog mom myself , so I wanted to ask you a little bit about your journey as a dog dad , and what inspired you to get involved with a company like this .;-;我自己也是一个充满激情的狗妈妈，所以我想问你一点关于你作为狗爸爸的经历，以及是什么激励你加入这样一家公司。;-;我自己就是一个充满激情的狗妈妈，所以我想问你一些关于你作为狗爸爸的旅程，以及是什么激励你加入这样的公司。;-;我自己是一个充满激情的狗妈妈，所以我想问你一些关于你作为狗爸爸的旅程，以及是什么激励你加入这样的公司。;-;1-2;1-3;2-3
According to her , this new album is just " Act I " of three recorded over the pandemic .;-;据她说，这张新专辑只是大流行期间录制的三张专辑中的“第一幕”。;-;据她说，这张新专辑只是在大流行期间录制的三张专辑中的“第一幕”。;-;据她介绍，这张新专辑只是大流行期间录制的三张专辑的“第一幕”。;-;1-2;1-3;2-3
He later quipped , " Anyone who says words hurt has never been punched in the face .;-;他后来打趣道：“任何说伤人话的人从来没有被打过脸。;-;他后来打趣道：“任何说伤害话的人从来没有被打过脸。;-;他后来打趣道：“任何说伤害的话的人，从来没有被打过脸。;-;1-2;1-3;2-3
Smith sighs then offers his thoughts about an altercation that made headlines worldwide and tarnished his image .;-;史密斯叹了口气，然后表达了他对这场引起全世界头条新闻并玷污其形象的争吵的看法。;-;史密斯叹了口气，然后就一场成为全球头条新闻并玷污了他的形象的争吵提出了他的想法。;-;史密斯叹了口气，然后提出了他对一场争吵的想法，这场争吵成为全世界的头条新闻，玷污了他的形象。;-;1-2;1-3;2-3
